Date,Close
3/3/2015 16:00:00,57.32
3/4/2015 16:00:00,56.78
3/5/2015 16:00:00,55.4
3/6/2015 16:00:00,55.45
3/9/2015 16:00:00,55.66
3/10/2015 16:00:00,54.72
3/11/2015 16:00:00,55.83
3/12/2015 16:00:00,57.18
3/13/2015 16:00:00,56.74
3/16/2015 16:00:00,57.9
3/17/2015 16:00:00,58.41
3/18/2015 16:00:00,58.7
3/19/2015 16:00:00,58.62
3/20/2015 16:00:00,59.69
3/23/2015 16:00:00,60.18
3/24/2015 16:00:00,59.78
3/25/2015 16:00:00,59.32
3/26/2015 16:00:00,59.82
3/27/2015 16:00:00,59.58
3/30/2015 16:00:00,60.92
3/31/2015 16:00:00,61.31
4/1/2015 16:00:00,61.04
4/2/2015 16:00:00,61.51
4/6/2015 16:00:00,62.12
4/7/2015 16:00:00,61.28
4/8/2015 16:00:00,61.83
4/9/2015 16:00:00,60.75
4/10/2015 16:00:00,60.6
4/13/2015 16:00:00,60.32
4/14/2015 16:00:00,61.07
4/15/2015 16:00:00,61
4/16/2015 16:00:00,61.2
4/17/2015 16:00:00,60.89
4/20/2015 16:00:00,60.94
4/21/2015 16:00:00,60.87
4/22/2015 16:00:00,61.6
4/23/2015 16:00:00,62.25
4/24/2015 16:00:00,62.74
4/27/2015 16:00:00,62.96
4/28/2015 16:00:00,62.93
4/29/2015 16:00:00,62.6
4/30/2015 16:00:00,61.19
5/1/2015 16:00:00,62.35
5/4/2015 16:00:00,62.42
5/5/2015 16:00:00,62.04
5/6/2015 16:00:00,61.46
5/7/2015 16:00:00,61.6
5/8/2015 16:00:00,62.1
5/11/2015 16:00:00,61.83
5/12/2015 16:00:00,61.36
5/13/2015 16:00:00,61.83
5/14/2015 16:00:00,62.56
5/15/2015 16:00:00,62.48
5/18/2015 16:00:00,63.54
5/19/2015 16:00:00,63.6
5/20/2015 16:00:00,63.13
5/21/2015 16:00:00,63.01
5/22/2015 16:00:00,63.42
5/26/2015 16:00:00,63.2
5/27/2015 16:00:00,62.69
